split,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
all,16180,path_loss,overall,1.6844917392343435,1.9711457147314058,-0.2866539754970623,0.9564418977669115,1.2564183555179602,-0.29997645775104875,2388528197
all,16180,path_loss,los,1.4772602163356903,1.7628607076600462,-0.28560049132435594,0.8523130139130308,1.1450332084663475,-0.29272019455331666,2186427815
all,16180,path_loss,nlos,3.150550428617612,3.5070482946319372,-0.3564978660143252,2.082962724586556,2.461441230542683,-0.3784785059561271,202100382
all,16180,delay_spread,overall,27.412141476164447,29.25270447066406,-1.8405629944996136,8.425669008529676,7.804298120989035,0.6213708875406407,3232287690
all,16180,delay_spread,los,26.965280416387216,29.477996453466147,-2.512716037078931,10.598251648026652,10.110054668407551,0.4881969796191008,2186427815
all,16180,delay_spread,nlos,28.32356282834057,28.77602105037876,-0.45245822203818875,3.883765073681973,2.9839867561201876,0.8997783175617853,1045859875
all,16180,angular_spread,overall,11.525595192364978,13.896583641141783,-2.3709884487768047,5.050047790499072,5.046441400465314,0.0036063900337577337,3232287690
all,16180,angular_spread,los,12.833276668646125,15.871818275324662,-3.038541606678537,6.7095634268759285,6.938821320719753,-0.22925789384382433,2186427815
all,16180,angular_spread,nlos,8.139259154342358,8.378023127781812,-0.238763973439454,1.580738726692295,1.0903166920954046,0.4904220345968904,1045859875
train,10840,path_loss,overall,1.711062177539708,2.0006036685434427,-0.28954149100373483,0.9722533546894293,1.2752601972515085,-0.3030068425620792,1551556948
train,10840,path_loss,los,1.4825630863056753,1.7705266778953948,-0.2879635915897194,0.8558307433576314,1.1510265116319627,-0.29519576827433125,1411953775
train,10840,path_loss,nlos,3.2106645627849395,3.574615452706931,-0.36395088992199165,2.1497577293981247,2.5317661649155507,-0.382008435517426,139603173
train,10840,delay_spread,overall,28.792939001833492,30.808643067521015,-2.0157040656875225,9.069595146636722,8.456108656582051,0.6134864900546706,2148068885
train,10840,delay_spread,los,28.714447943749498,31.506317797085217,-2.7918698533357187,11.70893433193289,11.257454985285458,0.4514793466474316,1411953775
train,10840,delay_spread,nlos,28.942897992637285,29.424161605595128,-0.4812636129578429,4.007037874417322,3.0828029405221744,0.9242349338951477,736115110
train,10840,angular_spread,overall,11.597483643278508,13.955302916071217,-2.3578192727927085,5.1245394342792,5.113776543507322,0.01076289077187731,2148068885
train,10840,angular_spread,los,13.055118131266058,16.12202413241326,-3.066906001147201,6.969688622274802,7.210625141888949,-0.24093651961414686,1411953775
train,10840,angular_spread,nlos,8.097847844915266,8.351554497458006,-0.25370665254273916,1.5853302507341578,1.091778834825288,0.49355141590886986,736115110
val,2750,path_loss,overall,1.6157306601053871,1.8915548338685928,-0.27582417376320567,0.9243726967134497,1.210871730071202,-0.2864990333577523,413884130
val,2750,path_loss,los,1.4676032351124904,1.7456558295069453,-0.27805259439445495,0.8525145532315044,1.1345526735677638,-0.2820381203362594,382752235
val,2750,path_loss,nlos,2.8680697517899802,3.1784060862985313,-0.310336334508551,1.807835320206714,2.1491792283723106,-0.3413439081655967,31131895
val,2750,delay_spread,overall,22.10614330500123,23.44944239566187,-1.34329909066064,6.299371814370404,5.712434001701679,0.586937812668725,538650555
val,2750,delay_spread,los,21.202677169970404,22.996179090142586,-1.793501920172183,7.603513722889838,7.073294785757266,0.5302189371325721,382752235
val,2750,delay_spread,nlos,24.18153050559398,24.5267643494403,-0.3452338438463194,3.097520629696146,2.371330002416939,0.7261906272792071,155898320
val,2750,angular_spread,overall,11.378176146580632,13.817750594117888,-2.4395744475372556,4.794730960022848,4.836080386019202,-0.04134942599635405,538650555
val,2750,angular_spread,los,12.48751635943806,15.53054155669898,-3.0430251972609206,6.152312199705019,6.387619465369879,-0.2353072656648596,382752235
val,2750,angular_spread,nlos,8.028862439929513,8.216842224092213,-0.18797978416269956,1.4616786637599086,1.0268343540535512,0.43484430970635746,155898320
test,2590,path_loss,overall,1.6518598230030355,1.9383239091003686,-0.2864640860973331,0.9298293114633137,1.2318769205721802,-0.3020476091088665,423087119
test,2590,path_loss,los,1.467484486772696,1.7518633716269574,-0.28437888485426144,0.8394365007117334,1.1336710151542304,-0.29423451444249704,391721805
test,2590,path_loss,nlos,3.1482453355178865,3.514323309334137,-0.3660779738162505,2.0587462557997456,2.458371721485281,-0.39962546568553536,31365314
test,2590,delay_spread,overall,26.556960053378663,28.1022931206065,-1.545333067227837,7.989671243305755,7.303260603531183,0.6864106397745715,545568250
test,2590,delay_spread,los,25.441924732340954,27.485141609207467,-2.043216876866513,9.52098209372353,8.941496853227413,0.5794852404961173,391721805
test,2590,delay_spread,nlos,29.204478455098254,29.615671354578943,-0.4111928994806888,4.090667590366187,3.1320049452186938,0.9586626451474931,153846445
test,2590,angular_spread,overall,11.385432383981204,13.7416484563061,-2.356216072324896,5.008830894611641,4.989016049093052,0.019814845518589586,545568250
test,2590,angular_spread,los,12.350970912258722,15.281756376193856,-2.930785463935134,6.316438517835201,6.497690173353677,-0.18125165551847555,391721805
test,2590,angular_spread,nlos,8.44236404310251,8.661434432397497,-0.21907038929498768,1.6794174681159972,1.1476497328033224,0.5317677353126748,153846445
