city,sample,expert_id,city_type,height_m,ground_rmse_db,los_rmse_db,nlos_rmse_db,ground_rmse_norm,los_rmse_norm,nlos_rmse_norm,ground_fraction,los_fraction,nlos_fraction
Hyderabad,sample_07008,dense_block_midrise,dense_highrise,47.60654830932617,93.32456588745117,11.015798225998878,95.5968689918518,0.5184698104858398,0.0611988790333271,0.5310937166213989,0.4144325256347656,0.04760633646597509,0.9523936635340249
Alexandria,sample_01426,mixed_compact_midrise,mixed_midrise,44.01139831542969,57.541290521621704,9.982371255755424,93.06508898735046,0.3196738362312317,0.055457618087530136,0.517028272151947,0.7569618225097656,0.6249061396037957,0.37509386039620424
Alexandria,sample_01503,mixed_compact_lowrise,mixed_midrise,36.16981506347656,44.631445705890656,9.390714168548584,89.92580473423004,0.24795247614383698,0.052170634269714355,0.4995878040790558,0.8234786987304688,0.7619817482744244,0.23801825172557559
Rio de Janeiro,sample_11868,open_sparse_lowrise,open_lowrise,43.964454650878906,10.146537870168686,10.146537870168686,nan,0.05636965483427048,0.05636965483427048,nan,1.0,1.0,0.0
Phuket,sample_11219,open_sparse_vertical,mixed_midrise,43.08085250854492,29.187626838684082,9.6668791025877,84.81719434261322,0.1621534824371338,0.053704883903265,0.4712066352367401,0.945648193359375,0.893181011391874,0.10681898860812598
Nagpur,sample_10490,mixed_compact_lowrise,mixed_midrise,21.81932258605957,71.88892006874084,11.745995432138443,92.8686010837555,0.39938288927078247,0.0652555301785469,0.5159366726875305,0.7249031066894531,0.4072957285466955,0.5927042714533045
Kuala Lumpur,sample_08360,mixed_compact_midrise,mixed_midrise,30.99463653564453,44.39192175865173,8.976256549358368,80.56046426296234,0.24662178754806519,0.04986809194087982,0.44755813479423523,0.8613319396972656,0.7051104330072234,0.2948895669927766
Rio de Janeiro,sample_12242,mixed_compact_midrise,dense_highrise,37.887943267822266,46.41753137111664,10.211240127682686,95.99484443664551,0.2578751742839813,0.056729111820459366,0.5333046913146973,0.8594779968261719,0.7749559489940392,0.22504405100596075
Santiago,sample_12649,mixed_compact_lowrise,mixed_midrise,38.60884475708008,45.72013556957245,9.325278997421265,89.19355094432831,0.2540007531642914,0.05180710554122925,0.4955197274684906,0.7692909240722656,0.7453945900379342,0.2546054099620658
Rio de Janeiro,sample_11623,dense_block_midrise,dense_highrise,43.37983322143555,66.75979614257812,8.012610599398613,83.74768495559692,0.37088775634765625,0.044514503329992294,0.4652649164199829,0.6652717590332031,0.36791343887796235,0.6320865611220376
Ho Chi Minh City,sample_06915,open_sparse_vertical,mixed_midrise,34.476829528808594,40.66168248653412,10.545497015118599,85.09848296642303,0.22589823603630066,0.05858609452843666,0.4727693498134613,0.9106025695800781,0.7837241159738426,0.21627588402615738
Alexandria,sample_01382,mixed_compact_lowrise,mixed_midrise,31.28643226623535,46.476759910583496,9.903474748134613,95.31795144081116,0.25820422172546387,0.055019304156303406,0.5295441746711731,0.7918777465820312,0.7705673793030359,0.22943262069696416
Shanghai,sample_13868,mixed_compact_midrise,mixed_midrise,49.81184768676758,72.05244362354279,9.93387222290039,88.53194117546082,0.4002913534641266,0.05518817901611328,0.491844117641449,0.8116912841796875,0.3419400319578908,0.6580599680421092
Victoria,sample_15759,open_sparse_lowrise,open_lowrise,42.01388168334961,40.605608224868774,10.24819828569889,91.47859454154968,0.22558671236038208,0.05693443492054939,0.5082144141197205,0.8808174133300781,0.8131753435455021,0.1868246564544978
Salvador,sample_12421,dense_block_midrise,dense_highrise,38.59758758544922,64.20528173446655,10.451640486717224,92.74757981300354,0.3566960096359253,0.058064669370651245,0.5152643322944641,0.6688995361328125,0.5274767890138468,0.47252321098615324
Berlin,sample_03160,mixed_compact_midrise,mixed_midrise,34.83770751953125,63.77969026565552,7.65827938914299,86.83912932872772,0.3543316125869751,0.042545996606349945,0.4824396073818207,0.8104705810546875,0.4641814929869152,0.5358185070130849
